chargeback_id,transaction_id,reason,amount,opened_at,resolved_at
CB0000001,T00000346,fraud,1002.68,2026-06-11,
CB0000002,T00000390,service_not_received,32.46,2026-06-26,2026-08-18
CB0000003,T00000442,duplicate,10.57,2026-06-26,2026-07-18
CB0000004,T00000573,duplicate,244.41,2026-06-22,2026-07-18
CB0000005,T00000773,fraud,1497.22,2026-06-18,
CB0000006,T00000802,duplicate,133.15,2026-05-25,2026-06-15
CB0000007,T00000830,customer_dispute,3.53,2026-05-22,2026-06-07
CB0000008,T00000886,service_not_received,892.18,2026-05-13,2026-07-07
CB0000009,T00000954,fraud,1712.49,2026-04-01,2026-05-25
CB0000010,T00001291,service_not_received,48.14,2026-06-22,
CB0000011,T00001381,fraud,719.72,2026-03-01,2026-03-25
CB0000012,T00001393,customer_dispute,16.03,2026-06-01,2026-07-17
CB0000013,T00001458,service_not_received,36.63,2026-05-26,2026-07-20
CB0000014,T00001637,customer_dispute,12.6,2026-06-21,2026-07-19
CB0000015,T00001672,service_not_received,95.79,2026-05-10,2026-05-20
CB0000016,T00001685,service_not_received,34.19,2026-04-01,
CB0000017,T00001716,customer_dispute,23.94,2026-07-23,
CB0000018,T00001761,customer_dispute,18.9,2026-06-10,2026-07-29
CB0000019,T00001823,fraud,15.94,2026-05-10,2026-06-06
CB0000020,T00001831,fraud,2647.26,2026-04-27,2026-05-22
CB0000021,T00001858,service_not_received,48.23,2026-07-23,2026-08-10
CB0000022,T00002063,fraud,9.32,2026-03-24,
CB0000023,T00002322,fraud,3745.45,2026-06-11,2026-07-20
CB0000024,T00002354,fraud,1355.84,2026-05-30,2026-07-17
CB0000025,T00002366,duplicate,317.25,2026-07-08,2026-08-19
CB0000026,T00002552,service_not_received,5191.38,2026-04-14,2026-06-06
CB0000027,T00002701,fraud,508.68,2026-04-30,2026-06-01
CB0000028,T00002780,fraud,51.37,2026-04-21,
CB0000029,T00002874,service_not_received,4242.66,2026-07-04,2026-08-27
CB0000030,T00002937,service_not_received,1985.09,2026-06-08,2026-07-05
CB0000031,T00003100,fraud,71.11,2026-07-17,2026-09-12
CB0000032,T00003361,service_not_received,581.11,2026-07-06,
CB0000033,T00003452,fraud,32.1,2026-06-14,2026-07-25
CB0000034,T00003512,service_not_received,74.17,2026-03-28,2026-05-22
CB0000035,T00003557,service_not_received,2270.56,2026-03-12,2026-04-30
CB0000036,T00003634,service_not_received,1062.59,2026-05-24,2026-07-17
CB0000037,T00003839,duplicate,2441.85,2026-06-25,2026-07-06
CB0000038,T00003907,fraud,4613.61,2026-04-24,2026-06-21
CB0000039,T00003914,customer_dispute,1504.87,2026-04-20,2026-06-01
CB0000040,T00003985,customer_dispute,20402.56,2026-03-15,
CB0000041,T00004058,service_not_received,1887.48,2026-04-29,
CB0000042,T00004188,duplicate,1331.51,2026-02-07,2026-03-30
CB0000043,T00004226,duplicate,7.74,2026-04-30,2026-06-06
CB0000044,T00004279,service_not_received,23.77,2026-07-13,
CB0000045,T00004341,fraud,60.19,2026-03-28,2026-05-02
CB0000046,T00004399,fraud,58.22,2026-07-22,2026-09-08
CB0000047,T00004498,customer_dispute,27.59,2026-04-27,2026-06-09
CB0000048,T00004507,service_not_received,3375.68,2026-07-05,
CB0000049,T00004518,duplicate,76.57,2026-04-25,
CB0000050,T00004584,duplicate,43.44,2026-03-26,2026-04-09
CB0000051,T00004597,fraud,1053.85,2026-03-17,
CB0000052,T00004627,fraud,15.89,2026-05-16,2026-06-05
CB0000053,T00004781,fraud,863.54,2026-04-20,2026-05-14
CB0000054,T00004908,customer_dispute,2124.19,2026-04-02,
CB0000055,T00004988,customer_dispute,30.15,2026-04-19,2026-06-13
CB0000056,T00005039,fraud,1889.0,2026-05-25,2026-07-14
CB0000057,T00005076,service_not_received,106.41,2026-05-28,2026-06-23
CB0000058,T00005080,fraud,16.79,2026-05-26,2026-06-18
CB0000059,T00005153,fraud,13.26,2026-06-22,2026-07-09
CB0000060,T00005161,duplicate,16.14,2026-07-04,2026-08-01
CB0000061,T00005250,fraud,246.84,2026-05-20,2026-06-28
CB0000062,T00005318,service_not_received,532.23,2026-05-08,2026-06-10
CB0000063,T00005476,fraud,96.29,2026-05-23,2026-07-08
CB0000064,T00005489,fraud,44.71,2026-03-27,2026-04-23
CB0000065,T00005548,fraud,466.94,2026-04-08,2026-04-19
CB0000066,T00005685,fraud,36.29,2026-05-06,2026-06-07
CB0000067,T00005695,service_not_received,18.07,2026-06-04,2026-07-16
CB0000068,T00005779,service_not_received,21.89,2026-02-06,2026-02-23
CB0000069,T00005979,duplicate,23.63,2026-02-26,2026-04-16
CB0000070,T00006073,fraud,1219.22,2026-03-26,2026-04-05
CB0000071,T00006315,duplicate,381.54,2026-05-07,2026-06-24
CB0000072,T00006321,fraud,2347.3,2026-03-10,2026-04-28
CB0000073,T00006382,duplicate,38.33,2026-07-07,2026-08-12
CB0000074,T00006414,service_not_received,108.11,2026-06-21,2026-07-19
CB0000075,T00006416,service_not_received,4.06,2026-06-07,2026-06-30
CB0000076,T00006445,fraud,11.01,2026-05-05,
CB0000077,T00006546,service_not_received,2104.81,2026-07-10,
CB0000078,T00006547,duplicate,0.0,2026-08-10,2026-08-27
CB0000079,T00006578,fraud,96.9,2026-07-05,
CB0000080,T00006589,service_not_received,1677.57,2026-02-27,
CB0000081,T00006670,service_not_received,645.73,2026-04-27,2026-05-27
CB0000082,T00006688,fraud,25.91,2026-06-09,2026-07-27
CB0000083,T00006695,customer_dispute,485.23,2026-03-07,
CB0000084,T00006855,customer_dispute,10.54,2026-02-26,2026-03-27
CB0000085,T00006973,service_not_received,93.73,2026-06-16,2026-08-06
CB0000086,T00007000,fraud,1697.3,2026-04-29,2026-06-14
CB0000087,T00007007,customer_dispute,390.18,2026-06-05,
CB0000088,T00007042,duplicate,4458.7,2026-06-22,2026-07-21
CB0000089,T00007079,customer_dispute,24.11,2026-07-01,2026-07-20
CB0000090,T00007134,customer_dispute,156.98,2026-07-23,2026-08-18
CB0000091,T00007313,fraud,706.07,2026-06-15,2026-06-30
CB0000092,T00007406,duplicate,7.93,2026-05-01,2026-05-25
CB0000093,T00007450,service_not_received,83.05,2026-04-21,2026-05-28
CB0000094,T00007486,service_not_received,1748.16,2026-03-27,
CB0000095,T00007612,fraud,0.0,2026-06-24,2026-07-26
CB0000096,T00007636,fraud,178.87,2026-03-16,2026-04-18
CB0000097,T00007707,service_not_received,32.83,2026-07-05,2026-08-04
CB0000098,T00007844,customer_dispute,7957.75,2026-05-14,2026-06-26
CB0000099,T00007877,service_not_received,2581.17,2026-03-13,2026-04-19
CB0000100,T00007984,fraud,89.42,2026-05-13,2026-06-06
CB0000101,T00008010,fraud,37.03,2026-04-11,2026-06-05
CB0000102,T00008074,customer_dispute,8.95,2026-07-13,
CB0000103,T00008133,fraud,19.85,2026-03-25,
CB0000104,T00008148,fraud,20.47,2026-05-04,2026-06-20
CB0000105,T00008277,customer_dispute,3296.63,2026-03-24,2026-05-13
CB0000106,T00008308,customer_dispute,71.47,2026-07-05,2026-08-07
CB0000107,T00008491,service_not_received,182.19,2026-02-03,2026-02-18
CB0000108,T00008609,fraud,1183.0,2026-06-23,2026-07-14
CB0000109,T00008620,customer_dispute,2681.24,2026-06-23,2026-08-09
CB0000110,T00008699,customer_dispute,1817.04,2026-02-20,2026-04-16
CB0000111,T00008718,fraud,56.32,2026-07-13,2026-08-20
CB0000112,T00008780,customer_dispute,4932.65,2026-07-02,2026-08-23
CB0000113,T00008949,service_not_received,2385.08,2026-05-15,2026-06-13
CB0000114,T00009013,duplicate,46.01,2026-07-15,2026-08-30
CB0000115,T00009105,fraud,25.74,2026-07-24,2026-08-22
CB0000116,T00009163,service_not_received,2638.99,2026-06-02,2026-07-15
CB0000117,T00009165,customer_dispute,16.65,2026-05-28,2026-06-07
CB0000118,T00009167,fraud,117.18,2026-06-08,2026-06-24
CB0000119,T00009222,customer_dispute,2112.8,2026-06-04,2026-06-26
CB0000120,T00009269,fraud,3329.87,2026-04-09,
CB0000121,T00009291,duplicate,42.93,2026-07-28,2026-09-06
CB0000122,T00009345,duplicate,2316.02,2026-04-25,2026-06-17
CB0000123,T00009476,service_not_received,1214.46,2026-07-18,2026-07-29
CB0000124,T00009585,service_not_received,7154.35,2026-07-04,2026-07-23
CB0000125,T00009650,fraud,2446.19,2026-05-23,2026-06-19
CB0000126,T00009828,fraud,21.78,2026-02-10,2026-03-13
CB0000127,T00009990,fraud,1435.45,2026-07-03,2026-08-08
CB0000128,T00010175,customer_dispute,229.92,2026-05-12,2026-06-29
CB0000129,T00010235,fraud,20.7,2026-07-10,2026-07-28
CB0000130,T00010283,fraud,1568.26,2026-05-10,2026-06-12
CB0000131,T00010286,customer_dispute,2325.19,2026-06-22,2026-07-20
CB0000132,T00010373,fraud,44.05,2026-07-05,2026-08-26
CB0000133,T00010461,fraud,2336.5,2026-08-05,
CB0000134,T00010497,customer_dispute,1872.21,2026-06-22,2026-08-17
CB0000135,T00010551,service_not_received,17.57,2026-05-29,2026-07-11
CB0000136,T00010772,fraud,27.98,2026-08-07,2026-09-27
CB0000137,T00010840,fraud,580.51,2026-03-19,
CB0000138,T00010874,fraud,458.18,2026-04-01,2026-05-03
CB0000139,T00010876,fraud,998.22,2026-08-06,
CB0000140,T00010925,customer_dispute,56.06,2026-05-02,2026-06-21
CB0000141,T00010935,service_not_received,49.73,2026-04-10,2026-05-16
CB0000142,T00010943,service_not_received,219.45,2026-06-11,
CB0000143,T00011516,fraud,63.72,2026-05-16,2026-06-11
CB0000144,T00011555,service_not_received,1605.44,2026-05-08,
CB0000145,T00011705,fraud,194.77,2026-05-12,
CB0000146,T00011830,service_not_received,114.51,2026-03-16,2026-05-04
CB0000147,T00011837,service_not_received,1659.53,2026-06-16,
CB0000148,T00011856,service_not_received,3202.86,2026-03-17,
CB0000149,T00011974,fraud,826.1,2026-07-01,2026-08-16
CB0000150,T00011988,customer_dispute,69.59,2026-02-22,2026-03-19
CB0000151,T00012132,service_not_received,1370.41,2026-06-20,2026-07-02
CB0000152,T00012225,fraud,12.79,2026-04-25,2026-05-27
CB0000153,T00012240,service_not_received,81.9,2026-04-30,2026-05-18
CB0000154,T00012299,fraud,13.38,2026-07-06,2026-08-19
CB0000155,T00012379,fraud,2580.51,2026-07-25,
CB0000156,T00012640,fraud,4213.53,2026-02-09,
CB0000157,T00012703,service_not_received,4387.95,2026-04-05,2026-04-28
CB0000158,T00012768,fraud,38.9,2026-05-28,2026-07-14
CB0000159,T00012916,service_not_received,4143.75,2026-06-10,2026-07-31
CB0000160,T00013117,fraud,3107.01,2026-05-31,2026-07-14
CB0000161,T00013347,service_not_received,33.87,2026-02-19,
CB0000162,T00013348,duplicate,3798.45,2026-03-31,
CB0000163,T00013848,customer_dispute,1733.73,2026-04-09,
CB0000164,T00013877,fraud,12239.33,2026-06-29,2026-08-15
CB0000165,T00014169,fraud,1369.23,2026-06-13,2026-07-19
CB0000166,T00014359,service_not_received,18.78,2026-05-09,2026-06-19
CB0000167,T00014370,fraud,20.3,2026-04-14,2026-05-08
CB0000168,T00014403,fraud,45.0,2026-07-01,
CB0000169,T00014428,duplicate,10.59,2026-05-18,2026-06-02
CB0000170,T00014645,fraud,1925.88,2026-03-11,2026-04-16
CB0000171,T00014758,fraud,35.92,2026-06-06,
CB0000172,T00014975,service_not_received,1727.34,2026-04-30,2026-06-25
