customer_id,segment,country,onboarding_date,kyc_status
C000001,Consumer,India,2024-11-28,VERIFIED
C000002,Enterprise,Singapore,2025-08-25,PENDING
C000003,SME,India,2024-06-14,VERIFIED
C000004,Consumer,India,2024-06-09,VERIFIED
C000005,Consumer,India,2024-01-06,VERIFIED
C000006,Consumer,India,2025-10-14,VERIFIED
C000007,Consumer,India,2024-07-23,VERIFIED
C000008,SME,India,2025-06-15,VERIFIED
C000009,Consumer,India,2024-04-09,VERIFIED
C000010,SME,India,2025-11-07,VERIFIED
C000011,Consumer,India,2024-02-14,VERIFIED
C000012,Enterprise,India,2025-04-01,VERIFIED
C000013,SME,UAE,2026-04-28,VERIFIED
C000014,Consumer,India,2024-08-14,VERIFIED
C000015,Consumer,UAE,2024-11-10,PENDING
C000016,Consumer,UAE,2024-02-21,VERIFIED
C000017,Consumer,India,2024-05-25,VERIFIED
C000018,Consumer,Singapore,2024-10-07,VERIFIED
C000019,Consumer,India,2024-05-02,VERIFIED
C000020,Consumer,Singapore,2025-12-19,VERIFIED
C000021,Consumer,India,2025-04-15,VERIFIED
C000022,Consumer,UAE,2024-10-23,REJECTED
C000023,Consumer,India,2025-09-05,VERIFIED
C000024,Consumer,Singapore,2025-05-26,VERIFIED
C000025,Consumer,India,2026-02-24,VERIFIED
C000026,SME,UAE,2025-10-02,VERIFIED
C000027,Consumer,India,2025-05-16,VERIFIED
C000028,Consumer,Singapore,2025-11-09,VERIFIED
C000029,Consumer,India,2024-07-20,VERIFIED
C000030,Consumer,India,2025-02-18,PENDING
C000031,Consumer,Singapore,2025-09-05,VERIFIED
C000032,Consumer,UAE,2025-08-05,VERIFIED
C000033,Consumer,India,2025-02-25,PENDING
C000034,Enterprise,UAE,2025-06-03,VERIFIED
C000035,Enterprise,Singapore,2025-11-04,VERIFIED
C000036,SME,Singapore,2024-03-13,VERIFIED
C000037,Consumer,India,2024-12-10,REJECTED
C000038,Consumer,India,2024-01-27,VERIFIED
C000039,SME,UAE,2024-06-17,VERIFIED
C000040,Consumer,India,2026-02-13,VERIFIED
C000041,Consumer,India,2026-03-10,REJECTED
C000042,Consumer,India,2025-08-07,VERIFIED
C000043,Consumer,India,2024-07-27,VERIFIED
C000044,Enterprise,Singapore,2025-09-02,VERIFIED
C000045,Consumer,Singapore,2026-05-29,VERIFIED
C000046,SME,Singapore,2025-06-26,VERIFIED
C000047,Consumer,India,2026-04-27,VERIFIED
C000048,Consumer,India,2025-06-28,VERIFIED
C000049,Consumer,India,2025-12-25,VERIFIED
C000050,Consumer,India,2025-10-18,VERIFIED
C000051,Enterprise,UAE,2025-09-02,VERIFIED
C000052,SME,Singapore,2026-04-01,VERIFIED
C000053,Enterprise,India,2024-11-05,VERIFIED
C000054,SME,UAE,2024-06-28,VERIFIED
