transaction_id,rule_id,decision,risk_score,model_version
T00000001,geo_mismatch,APPROVE,0.088,v1.8
T00000002,geo_mismatch,APPROVE,0.3965,v1.8
T00000003,velocity,APPROVE,0.3602,v1.8
T00000005,velocity,APPROVE,0.4378,v2.0
T00000006,amount_spike,DECLINE,0.4013,v2.0
T00000007,amount_spike,APPROVE,0.3215,v2.0
T00000008,amount_spike,APPROVE,0.9183,v2.0
T00000009,geo_mismatch,APPROVE,0.4201,v1.8
T00000010,geo_mismatch,APPROVE,0.1854,v2.0
T00000011,new_device,APPROVE,0.1671,v1.8
T00000012,velocity,APPROVE,1.12,v1.8
T00000013,watchlist,APPROVE,0.3561,v2.0
T00000014,amount_spike,APPROVE,0.2917,v1.8
T00000015,velocity,APPROVE,0.0698,v1.8
T00000017,velocity,APPROVE,0.7799,v1.8
T00000018,watchlist,APPROVE,0.1732,v2.0
T00000019,velocity,APPROVE,0.1484,v2.0
T00000020,amount_spike,APPROVE,0.0348,v2.0
T00000021,new_device,APPROVE,0.466,v1.8
T00000022,none,APPROVE,0.3003,v1.8
T00000023,amount_spike,APPROVE,0.1197,v2.0
T00000024,new_device,APPROVE,0.1683,v1.8
T00000025,new_device,APPROVE,0.0,v2.0
T00000026,new_device,APPROVE,0.0935,v2.0
T00000027,watchlist,APPROVE,0.4454,v2.0
T00000028,none,APPROVE,0.4553,v2.0
T00000029,none,APPROVE,0.4323,v2.0
T00000030,velocity,APPROVE,0.0456,v1.8
T00000031,none,APPROVE,0.8777,v2.0
T00000032,none,APPROVE,0.4237,v1.8
T00000033,geo_mismatch,APPROVE,0.4539,v1.8
T00000034,new_device,DECLINE,0.1129,v1.8
T00000035,velocity,DECLINE,0.2351,v2.0
T00000036,none,APPROVE,0.3648,v2.0
T00000037,none,APPROVE,0.5734,v2.0
T00000038,geo_mismatch,APPROVE,0.4727,v1.8
T00000039,amount_spike,APPROVE,0.5645,v2.0
T00000040,geo_mismatch,APPROVE,0.5992,v1.8
T00000041,new_device,APPROVE,0.3522,v2.0
T00000042,amount_spike,APPROVE,0.2437,v2.0
T00000043,velocity,APPROVE,0.5299,v1.8
T00000044,watchlist,APPROVE,0.602,v1.8
T00000045,none,DECLINE,0.3954,v1.8
T00000046,new_device,APPROVE,0.5826,v1.8
T00000047,velocity,APPROVE,0.1205,v2.0
T00000048,geo_mismatch,APPROVE,0.6341,v1.8
T00000049,watchlist,APPROVE,0.2897,v1.8
T00000050,amount_spike,APPROVE,0.4395,v2.0
T00000051,none,APPROVE,0.7025,v2.0
T00000052,new_device,APPROVE,0.3647,v1.8
T00000053,new_device,APPROVE,0.4988,v1.8
T00000054,none,APPROVE,0.8912,v1.8
T00000055,watchlist,REVIEW,0.9923,v1.8
T00000056,geo_mismatch,APPROVE,0.801,v1.8
T00000057,none,APPROVE,0.6337,v2.0
T00000058,none,APPROVE,0.5547,v1.8
T00000059,velocity,APPROVE,0.2929,v1.8
T00000060,amount_spike,APPROVE,0.5213,v1.8
T00000061,velocity,APPROVE,0.3741,v2.0
T00000062,amount_spike,APPROVE,0.302,v1.8
T00000063,amount_spike,APPROVE,0.0,v2.0
T00000064,new_device,APPROVE,0.2567,v2.0
T00000065,amount_spike,APPROVE,0.4179,v2.0
T00000066,velocity,APPROVE,0.3473,v1.8
T00000067,none,APPROVE,0.3211,v1.8
T00000068,none,APPROVE,0.1376,v2.0
T00000069,velocity,APPROVE,0.0944,v2.0
T00000070,velocity,APPROVE,0.4485,v2.0
T00000071,none,APPROVE,0.2814,v2.0
T00000072,velocity,APPROVE,0.1452,v2.0
T00000073,amount_spike,APPROVE,0.6884,v2.0
T00000074,amount_spike,APPROVE,1.35,v2.0
T00000075,geo_mismatch,APPROVE,0.5099,v1.8
T00000076,velocity,APPROVE,0.2109,v1.8
T00000077,geo_mismatch,APPROVE,0.4341,v2.0
T00000078,geo_mismatch,APPROVE,0.5265,v1.8
T00000079,amount_spike,APPROVE,0.7783,v1.8
T00000080,velocity,APPROVE,0.1852,v1.8
T00000081,none,DECLINE,0.5022,v2.0
T00000082,new_device,APPROVE,0.3403,v1.8
T00000083,amount_spike,APPROVE,0.3367,v2.0
T00000084,amount_spike,APPROVE,0.3221,v1.8
T00000085,none,APPROVE,0.5196,v2.0
T00000086,none,APPROVE,0.2562,v1.8
T00000087,new_device,APPROVE,0.312,v1.8
T00000088,amount_spike,APPROVE,0.6279,v2.0
T00000089,amount_spike,APPROVE,0.2741,v2.0
T00000090,amount_spike,APPROVE,0.0073,v1.8
T00000091,new_device,APPROVE,0.1779,v2.0
T00000092,new_device,APPROVE,0.009,v2.0
T00000093,new_device,APPROVE,0.0933,v1.8
T00000094,velocity,APPROVE,0.3044,v1.8
T00000095,geo_mismatch,APPROVE,0.5156,v2.0
T00000096,amount_spike,APPROVE,0.0,v1.8
T00000097,none,APPROVE,0.4552,v1.8
T00000098,amount_spike,APPROVE,0.568,v2.0
T00000100,amount_spike,APPROVE,0.4074,v1.8
T00000101,new_device,APPROVE,0.7262,v2.0
T00000102,none,APPROVE,0.1296,v1.8
T00000103,none,APPROVE,0.1218,v2.0
T00000104,new_device,DECLINE,0.1884,v1.8
T00000105,amount_spike,APPROVE,0.4201,v2.0
T00000106,none,APPROVE,0.0826,v1.8
T00000107,none,APPROVE,0.7527,v1.8
T00000108,amount_spike,APPROVE,0.6073,v1.8
T00000109,new_device,APPROVE,0.2836,v2.0
T00000110,velocity,APPROVE,0.3841,v2.0
T00000111,new_device,DECLINE,0.6352,v1.8
T00000112,none,APPROVE,0.1823,v1.8
T00000113,geo_mismatch,APPROVE,0.4063,v1.8
T00000114,new_device,APPROVE,0.6089,v2.0
T00000115,velocity,APPROVE,0.1329,v1.8
T00000116,watchlist,APPROVE,0.5076,v2.0
T00000117,geo_mismatch,APPROVE,0.3668,v2.0
T00000118,amount_spike,APPROVE,0.3291,v2.0
T00000119,none,APPROVE,0.2401,v2.0
T00000120,velocity,APPROVE,0.4542,v1.8
T00000121,velocity,APPROVE,0.1566,v1.8
T00000122,amount_spike,APPROVE,0.1893,v1.8
T00000123,watchlist,APPROVE,0.33,v2.0
T00000124,none,APPROVE,0.16,v1.8
T00000125,none,APPROVE,0.4058,v1.8
T00000126,amount_spike,APPROVE,0.2165,v1.8
T00000127,amount_spike,APPROVE,0.6865,v2.0
T00000128,none,APPROVE,0.0671,v2.0
T00000129,velocity,APPROVE,0.1595,v1.8
T00000130,watchlist,APPROVE,0.3773,v1.8
T00000131,none,APPROVE,0.5243,v1.8
T00000132,geo_mismatch,APPROVE,0.4058,v1.8
T00000133,new_device,APPROVE,0.214,v2.0
T00000134,none,APPROVE,0.4602,v2.0
T00000135,velocity,APPROVE,0.2748,v2.0
T00000136,none,APPROVE,0.3324,v2.0
T00000137,none,APPROVE,0.4639,v1.8
T00000138,new_device,APPROVE,0.2378,v2.0
T00000139,none,APPROVE,0.0,v2.0
T00000140,none,APPROVE,0.0841,v2.0
T00000141,geo_mismatch,APPROVE,0.4342,v2.0
T00000142,amount_spike,APPROVE,0.6498,v2.0
T00000143,amount_spike,APPROVE,0.4244,v2.0
T00000144,watchlist,APPROVE,0.2165,v1.8
T00000145,new_device,APPROVE,0.62,v1.8
T00000146,velocity,APPROVE,0.429,v2.0
T00000147,velocity,APPROVE,0.5371,v1.8
T00000148,watchlist,APPROVE,0.491,v2.0
T00000149,none,APPROVE,0.0,v2.0
T00000150,new_device,APPROVE,0.755,v2.0
T00000151,velocity,APPROVE,0.1137,v1.8
T00000152,watchlist,APPROVE,0.1841,v1.8
T00000153,amount_spike,APPROVE,0.0,v2.0
T00000154,geo_mismatch,APPROVE,0.7822,v2.0
T00000155,amount_spike,DECLINE,0.6692,v2.0
T00000156,watchlist,APPROVE,0.6144,v2.0
T00000157,new_device,APPROVE,0.1821,v1.8
T00000158,amount_spike,APPROVE,0.1926,v1.8
T00000159,amount_spike,APPROVE,0.0,v2.0
T00000160,velocity,APPROVE,0.2258,v1.8
T00000161,none,APPROVE,0.3166,v1.8
T00000163,geo_mismatch,APPROVE,0.5786,v2.0
T00000164,geo_mismatch,APPROVE,0.5194,v2.0
T00000165,none,APPROVE,0.259,v1.8
T00000166,new_device,APPROVE,0.4837,v2.0
T00000167,none,APPROVE,0.2869,v1.8
T00000168,none,APPROVE,0.3357,v1.8
T00000169,new_device,APPROVE,0.5737,v2.0
T00000170,none,APPROVE,0.2131,v1.8
T00000171,new_device,APPROVE,0.0106,v1.8
T00000172,velocity,APPROVE,0.1835,v2.0
T00000174,none,APPROVE,0.3326,v2.0
T00000175,new_device,APPROVE,0.7089,v1.8
T00000176,geo_mismatch,APPROVE,0.3066,v1.8
T00000177,velocity,APPROVE,0.3164,v1.8
T00000178,new_device,APPROVE,0.6836,v2.0
T00000179,none,DECLINE,0.6547,v1.8
T00000180,amount_spike,DECLINE,0.232,v1.8
T00000181,new_device,APPROVE,0.4656,v2.0
T00000182,none,APPROVE,0.0,v2.0
T00000183,amount_spike,APPROVE,0.5525,v1.8
T00000184,watchlist,APPROVE,0.4715,v2.0
T00000185,new_device,DECLINE,0.252,v1.8
T00000186,velocity,APPROVE,0.0149,v2.0
T00000187,watchlist,APPROVE,0.1133,v2.0
T00000188,geo_mismatch,APPROVE,0.1326,v2.0
T00000189,velocity,APPROVE,0.3891,v1.8
T00000190,velocity,APPROVE,0.186,v1.8
T00000191,new_device,APPROVE,0.1517,v2.0
T00000192,new_device,APPROVE,0.0,v1.8
T00000193,watchlist,APPROVE,0.5999,v2.0
T00000194,geo_mismatch,APPROVE,0.3788,v2.0
T00000195,velocity,APPROVE,0.0337,v1.8
T00000196,velocity,APPROVE,0.5537,v2.0
T00000197,none,APPROVE,0.3698,v2.0
T00000198,none,APPROVE,0.6364,v1.8
T00000199,none,APPROVE,0.0317,v1.8
T00000200,watchlist,APPROVE,0.3773,v1.8
T00000201,geo_mismatch,APPROVE,0.0,v2.0
T00000202,amount_spike,APPROVE,0.0,v1.8
T00000203,velocity,APPROVE,0.7727,v2.0
T00000204,amount_spike,APPROVE,0.3002,v1.8
T00000205,new_device,APPROVE,0.5111,v1.8
T00000206,new_device,APPROVE,0.8095,v2.0
T00000207,none,APPROVE,0.4999,v1.8
T00000208,none,APPROVE,0.0527,v2.0
T00000209,none,APPROVE,0.6081,v1.8
T00000210,geo_mismatch,APPROVE,0.389,v2.0
T00000211,velocity,APPROVE,0.5075,v2.0
T00000212,velocity,APPROVE,0.3174,v2.0
T00000213,geo_mismatch,APPROVE,0.5014,v1.8
T00000214,new_device,APPROVE,0.5939,v2.0
T00000215,velocity,APPROVE,0.0028,v1.8
T00000216,geo_mismatch,APPROVE,0.0179,v2.0
T00000218,geo_mismatch,APPROVE,0.0636,v1.8
T00000219,velocity,APPROVE,0.3284,v2.0
T00000220,none,DECLINE,0.6423,v1.8
T00000221,velocity,APPROVE,0.2659,v1.8
T00000222,amount_spike,APPROVE,0.2022,v2.0
T00000223,watchlist,APPROVE,0.3064,v2.0
T00000224,amount_spike,APPROVE,0.6522,v1.8
T00000225,new_device,APPROVE,0.1692,v2.0
T00000226,geo_mismatch,APPROVE,0.4362,v1.8
T00000227,geo_mismatch,APPROVE,0.1522,v2.0
T00000228,none,APPROVE,0.2763,v1.8
T00000229,watchlist,APPROVE,0.0994,v1.8
T00000230,geo_mismatch,APPROVE,0.1856,v2.0
T00000231,geo_mismatch,APPROVE,0.2423,v1.8
T00000232,geo_mismatch,APPROVE,0.4414,v1.8
T00000233,velocity,APPROVE,0.4024,v1.8
