rate_date,currency,rate_to_usd,rate_type
2026-01-01,INR,0.011882,SPOT
2026-01-01,INR,0.012051,ACCOUNTING
2026-01-01,SGD,0.743401,SPOT
2026-01-01,SGD,0.745074,ACCOUNTING
2026-01-01,AED,0.270808,SPOT
2026-01-01,AED,0.272327,ACCOUNTING
2026-01-02,INR,0.012045,SPOT
2026-01-02,INR,0.012053,ACCOUNTING
2026-01-02,SGD,0.749497,SPOT
2026-01-02,SGD,0.745157,ACCOUNTING
2026-01-02,AED,0.271487,SPOT
2026-01-02,AED,0.272357,ACCOUNTING
2026-01-03,INR,0.01208,SPOT
2026-01-03,INR,0.012054,ACCOUNTING
2026-01-03,SGD,0.74465,SPOT
2026-01-03,SGD,0.745239,ACCOUNTING
2026-01-03,AED,0.270838,SPOT
2026-01-03,AED,0.272387,ACCOUNTING
2026-01-04,INR,0.012153,SPOT
2026-01-04,INR,0.012055,ACCOUNTING
2026-01-04,SGD,0.748761,SPOT
2026-01-04,SGD,0.745321,ACCOUNTING
2026-01-04,AED,0.270512,SPOT
2026-01-04,AED,0.272417,ACCOUNTING
2026-01-05,INR,0.012084,SPOT
2026-01-05,INR,0.012056,ACCOUNTING
2026-01-05,SGD,0.744155,SPOT
2026-01-05,SGD,0.745402,ACCOUNTING
2026-01-05,AED,0.273168,SPOT
2026-01-05,AED,0.272447,ACCOUNTING
2026-01-06,INR,0.011955,SPOT
2026-01-06,INR,0.012058,ACCOUNTING
2026-01-06,SGD,0.743546,SPOT
2026-01-06,SGD,0.745482,ACCOUNTING
2026-01-06,AED,0.272916,SPOT
2026-01-06,AED,0.272476,ACCOUNTING
2026-01-07,INR,0.011973,SPOT
2026-01-07,INR,0.012059,ACCOUNTING
2026-01-07,SGD,0.746282,SPOT
2026-01-07,SGD,0.745561,ACCOUNTING
2026-01-07,AED,0.271798,SPOT
2026-01-07,AED,0.272505,ACCOUNTING
2026-01-08,INR,0.012056,SPOT
2026-01-08,INR,0.01206,ACCOUNTING
2026-01-08,SGD,0.749702,SPOT
2026-01-08,SGD,0.745638,ACCOUNTING
2026-01-08,AED,0.276775,SPOT
2026-01-08,AED,0.272533,ACCOUNTING
2026-01-09,INR,0.012058,SPOT
2026-01-09,INR,0.012062,ACCOUNTING
2026-01-09,SGD,0.744324,SPOT
2026-01-09,SGD,0.745714,ACCOUNTING
2026-01-09,AED,0.275516,SPOT
2026-01-09,AED,0.272561,ACCOUNTING
2026-01-10,INR,0.012135,SPOT
2026-01-10,INR,0.012063,ACCOUNTING
2026-01-10,SGD,0.753127,SPOT
2026-01-10,SGD,0.745789,ACCOUNTING
2026-01-10,AED,0.272757,SPOT
2026-01-10,AED,0.272588,ACCOUNTING
2026-01-11,INR,0.012112,SPOT
2026-01-11,INR,0.012064,ACCOUNTING
2026-01-11,SGD,0.745423,SPOT
2026-01-11,SGD,0.745862,ACCOUNTING
2026-01-11,AED,0.272468,SPOT
2026-01-11,AED,0.272615,ACCOUNTING
2026-01-12,INR,0.012062,SPOT
2026-01-12,INR,0.012065,ACCOUNTING
2026-01-12,SGD,0.747089,SPOT
2026-01-12,SGD,0.745932,ACCOUNTING
2026-01-12,AED,0.272505,SPOT
2026-01-12,AED,0.272641,ACCOUNTING
2026-01-13,INR,0.012154,SPOT
2026-01-13,INR,0.012066,ACCOUNTING
2026-01-13,SGD,0.747821,SPOT
2026-01-13,SGD,0.746001,ACCOUNTING
2026-01-13,AED,0.27272,SPOT
2026-01-13,AED,0.272666,ACCOUNTING
2026-01-14,INR,0.012066,SPOT
2026-01-14,INR,0.012067,ACCOUNTING
2026-01-14,SGD,0.743369,SPOT
2026-01-14,SGD,0.746067,ACCOUNTING
2026-01-14,AED,0.270626,SPOT
2026-01-14,AED,0.27269,ACCOUNTING
2026-01-15,INR,0.012127,SPOT
2026-01-15,INR,0.012068,ACCOUNTING
2026-01-15,SGD,0.749742,SPOT
2026-01-15,SGD,0.746132,ACCOUNTING
2026-01-15,AED,0.270597,SPOT
2026-01-15,AED,0.272714,ACCOUNTING
2026-01-16,INR,0.011977,SPOT
2026-01-16,INR,0.012069,ACCOUNTING
2026-01-16,SGD,0.748439,SPOT
2026-01-16,SGD,0.746193,ACCOUNTING
2026-01-16,AED,0.27189,SPOT
2026-01-16,AED,0.272736,ACCOUNTING
2026-01-17,INR,0.011984,SPOT
2026-01-17,INR,0.01207,ACCOUNTING
2026-01-17,SGD,0.738159,SPOT
2026-01-17,SGD,0.746252,ACCOUNTING
2026-01-17,AED,0.271666,SPOT
2026-01-17,AED,0.272758,ACCOUNTING
2026-01-18,INR,0.012065,SPOT
2026-01-18,INR,0.012071,ACCOUNTING
2026-01-18,SGD,0.744089,SPOT
2026-01-18,SGD,0.746308,ACCOUNTING
2026-01-18,AED,0.270262,SPOT
2026-01-18,AED,0.272778,ACCOUNTING
2026-01-19,INR,0.012013,SPOT
2026-01-19,INR,0.012072,ACCOUNTING
2026-01-19,SGD,0.747854,SPOT
2026-01-19,SGD,0.746361,ACCOUNTING
2026-01-19,AED,0.275023,SPOT
2026-01-19,AED,0.272797,ACCOUNTING
2026-01-20,INR,0.01206,SPOT
2026-01-20,INR,0.012073,ACCOUNTING
2026-01-20,SGD,0.75001,SPOT
2026-01-20,SGD,0.746411,ACCOUNTING
2026-01-20,AED,0.273622,SPOT
2026-01-20,AED,0.272816,ACCOUNTING
2026-01-21,INR,0.012015,SPOT
2026-01-21,INR,0.012074,ACCOUNTING
2026-01-21,SGD,0.749605,SPOT
2026-01-21,SGD,0.746458,ACCOUNTING
2026-01-21,AED,0.274288,SPOT
