merchant_id,merchant_segment,category,country,pricing_plan,risk_tier
M00001,SME,Electronics,Singapore,Standard,Low
M00002,SME,Retail,India,Growth,Medium
M00003,Enterprise,Digital Services,UAE,Standard,Medium
M00004,Enterprise,Digital Services,UAE,Standard,Medium
M00005,SME,Digital Services,UAE,Growth,Low
M00006,SME,Education,India,Growth,Medium
M00007,SME,Electronics,India,Standard,Low
M00008,Strategic,Food,India,Promotional,Medium
M00009,Enterprise,Food,Singapore,Enterprise,High
M00010,SME,Healthcare,India,Growth,Medium
M00011,SME,Professional Services,UAE,High Risk,Medium
M00012,SME,Electronics,Singapore,Promotional,Low
M00013,Enterprise,Professional Services,Singapore,Standard,Low
M00014,SME,Travel,Singapore,Promotional,Low
M00015,SME,Retail,Singapore,Growth,Medium
M00016,Enterprise,Food,India,Enterprise,Low
M00017,SME,Retail,India,Promotional,Low
M00018,SME,Digital Services,India,Standard,Low
M00019,SME,Travel,Singapore,Growth,Medium
M00020,SME,Food,India,Standard,Low
M00021,SME,Digital Services,UAE,Promotional,Low
M00022,SME,Food,UAE,Standard,Low
M00023,SME,Travel,India,Growth,Low
M00024,SME,Electronics,Singapore,Standard,Low
M00025,SME,Healthcare,India,Standard,Low
M00026,SME,Digital Services,India,High Risk,Low
M00027,SME,Digital Services,UAE,Standard,Low
M00028,SME,Food,UAE,Standard,Medium
M00029,SME,Education,Singapore,Standard,High
M00030,Enterprise,Retail,UAE,Standard,Low
M00031,SME,Electronics,Singapore,Promotional,Low
M00032,SME,Education,Singapore,Promotional,Low
M00033,SME,Digital Services,India,Standard,Low
M00034,SME,Travel,India,Growth,Low
M00035,Enterprise,Electronics,India,Standard,Medium
M00036,SME,Retail,India,Growth,Medium
M00037,SME,Digital Services,Singapore,Promotional,Medium
M00038,SME,Electronics,India,Promotional,Low
M00039,Enterprise,Digital Services,Singapore,Enterprise,Low
M00040,SME,Digital Services,India,Standard,Medium
M00041,SME,Food,India,Promotional,Low
M00042,Strategic,Digital Services,India,Enterprise,Low
M00043,SME,Retail,India,Growth,Low
M00044,Enterprise,Travel,UAE,Standard,Medium
M00045,SME,Healthcare,Singapore,Growth,Medium
M00046,SME,Professional Services,India,Growth,Low
M00047,SME,Food,Singapore,Standard,Medium
M00048,SME,Healthcare,Singapore,Growth,Medium
M00049,SME,Digital Services,Singapore,Standard,Low
M00050,SME,Professional Services,UAE,Promotional,Low
M00051,Enterprise,Electronics,Singapore,Standard,High
M00052,SME,Digital Services,UAE,Growth,Low
M00053,Enterprise,Retail,UAE,Enterprise,Low
M00054,SME,Education,India,Standard,Medium
M00055,SME,Travel,India,Standard,Low
M00056,SME,Electronics,India,Standard,Medium
M00057,SME,Food,Singapore,Standard,Low
M00058,SME,Food,UAE,Promotional,Medium
M00059,Enterprise,Professional Services,Singapore,Growth,Medium
M00060,SME,Electronics,India,Standard,Low
M00061,SME,Healthcare,Singapore,Standard,Low
M00062,Enterprise,Retail,Singapore,Growth,Low
M00063,SME,Retail,India,Growth,Low
M00064,SME,Retail,India,Growth,Medium
M00065,SME,Healthcare,Singapore,High Risk,Medium
M00066,Strategic,Food,Singapore,Enterprise,Medium
M00067,Enterprise,Retail,Singapore,Standard,High
M00068,Enterprise,Healthcare,India,Standard,High
M00069,SME,Retail,India,Standard,Medium
M00070,SME,Digital Services,Singapore,Growth,High
M00071,SME,Healthcare,UAE,Standard,Low
M00072,SME,Digital Services,UAE,Growth,Medium
M00073,SME,Professional Services,India,Standard,Medium
M00074,SME,Food,UAE,Growth,Low
M00075,SME,Education,India,Growth,High
M00076,Enterprise,Travel,UAE,Enterprise,Low
M00077,SME,Food,India,Standard,Low
M00078,Enterprise,Electronics,Singapore,Standard,Low
M00079,SME,Professional Services,India,Growth,Low
M00080,SME,Professional Services,UAE,Promotional,Low
M00081,Enterprise,Food,Singapore,Standard,Medium
M00082,SME,Digital Services,India,Standard,Medium
M00083,Strategic,Digital Services,India,Enterprise,Medium
M00084,SME,Food,India,Promotional,Medium
M00085,Strategic,Retail,India,Enterprise,Low
M00086,SME,Retail,India,Promotional,Low
M00087,SME,Food,Singapore,Growth,Medium
M00088,Strategic,Retail,UAE,Enterprise,Medium
M00089,SME,Electronics,UAE,Promotional,Medium
M00090,SME,Healthcare,India,Standard,Low
M00091,SME,Digital Services,India,Growth,Low
M00092,Enterprise,Retail,India,Enterprise,High
M00093,SME,Digital Services,India,Standard,Medium
M00094,SME,Digital Services,UAE,Standard,Low
M00095,Enterprise,Food,India,Standard,Low
M00096,Enterprise,Digital Services,Singapore,Standard,Low
M00097,SME,Electronics,India,Standard,Low
M00098,Enterprise,Healthcare,Singapore,Standard,Low
M00099,SME,Food,UAE,Standard,Medium
M00100,SME,Travel,India,Standard,High
M00101,SME,Food,UAE,High Risk,Medium
M00102,SME,Professional Services,India,Standard,Medium
M00103,Enterprise,Electronics,India,Enterprise,Medium
M00104,SME,Retail,UAE,Standard,Low
M00105,SME,Healthcare,Singapore,Standard,Low
M00106,SME,Retail,India,Growth,Low
M00107,SME,Digital Services,India,Standard,Medium
M00108,SME,Electronics,India,Growth,High
M00109,Enterprise,Digital Services,Singapore,Enterprise,Low
M00110,SME,Food,UAE,Growth,Low
M00111,Enterprise,Education,India,Growth,Low
M00112,SME,Education,Singapore,Standard,Medium
M00113,SME,Electronics,India,Growth,Low
M00114,SME,Electronics,Singapore,Growth,High
M00115,SME,Electronics,India,Standard,Low
M00116,SME,Travel,India,Promotional,High
M00117,SME,Electronics,India,Growth,Low
M00118,Strategic,Retail,India,Enterprise,Low
