merchant_id,snapshot_month,risk_score,risk_band
M00001,2026-01-01,0.0858,Low
M00001,2026-02-01,0.1749,Low
M00001,2026-03-01,0.1918,Low
M00001,2026-04-01,0.143,Low
M00001,2026-05-01,0.3533,Medium
M00001,2026-06-01,0.3541,Medium
M00002,2026-01-01,0.4355,Medium
M00002,2026-02-01,0.4772,Medium
M00002,2026-03-01,0.5572,Medium
M00002,2026-04-01,0.5107,Medium
M00002,2026-05-01,0.4502,Medium
M00002,2026-06-01,0.5361,Medium
M00003,2026-01-01,0.5131,Medium
M00003,2026-02-01,0.4968,Medium
M00003,2026-03-01,0.5187,Medium
M00003,2026-04-01,0.5311,Medium
M00003,2026-05-01,0.3861,Medium
M00003,2026-06-01,0.4532,Medium
M00004,2026-01-01,0.6271,Medium
M00004,2026-02-01,0.409,Medium
M00004,2026-03-01,0.4971,Medium
M00004,2026-04-01,0.4829,Medium
M00004,2026-05-01,0.5129,Medium
M00004,2026-06-01,0.4335,Medium
M00005,2026-01-01,0.2268,Low
M00005,2026-02-01,0.1893,Low
M00005,2026-03-01,0.2217,Low
M00005,2026-04-01,0.2261,Low
M00005,2026-05-01,0.1678,Low
M00005,2026-06-01,0.185,Low
M00006,2026-01-01,0.5073,Medium
M00006,2026-02-01,0.5466,Medium
M00006,2026-03-01,0.5589,Medium
M00006,2026-04-01,0.6328,Medium
M00006,2026-05-01,0.756,High
M00006,2026-06-01,0.6112,Medium
M00007,2026-01-01,0.1029,Low
M00007,2026-02-01,0.2567,Low
M00007,2026-03-01,0.1035,Low
M00007,2026-04-01,0.2503,Low
M00007,2026-05-01,0.2556,Low
M00007,2026-06-01,0.2572,Low
M00008,2026-01-01,0.4267,Medium
M00008,2026-02-01,0.4601,Medium
M00008,2026-03-01,0.5612,Medium
M00008,2026-04-01,0.5041,Medium
M00008,2026-05-01,0.4827,Medium
M00008,2026-06-01,0.4592,Medium
M00009,2026-01-01,0.7492,High
M00009,2026-02-01,0.7543,High
M00009,2026-03-01,0.776,High
M00009,2026-04-01,0.7712,High
M00009,2026-05-01,0.6763,High
M00009,2026-06-01,0.7171,High
M00010,2026-01-01,0.4402,Medium
M00010,2026-02-01,0.589,Medium
M00010,2026-03-01,0.4035,Medium
M00010,2026-04-01,0.5114,Medium
M00010,2026-05-01,0.6167,Medium
M00010,2026-06-01,0.5924,Medium
M00011,2026-01-01,0.6235,Medium
M00011,2026-02-01,0.6326,Medium
M00011,2026-03-01,0.5408,Medium
M00011,2026-04-01,0.4127,Medium
M00011,2026-05-01,0.4709,Medium
M00011,2026-06-01,0.5934,Medium
M00012,2026-01-01,0.303,Low
M00012,2026-02-01,0.3772,Medium
M00012,2026-03-01,0.173,Low
M00012,2026-04-01,0.227,Low
M00012,2026-05-01,0.3879,Medium
M00012,2026-06-01,0.2766,Low
M00013,2026-01-01,0.2672,Low
M00013,2026-02-01,0.3233,Low
M00013,2026-03-01,0.1679,Low
M00013,2026-04-01,0.1735,Low
M00013,2026-05-01,0.3144,Low
M00013,2026-06-01,0.491,Medium
M00014,2026-01-01,0.1397,Low
