settlement_id,transaction_id,settlement_amount,settlement_currency,fee_amount,settlement_status,settlement_date
SET00000001,T00000001,12316.97,INR,35.56,SETTLED,2026-04-16
SET00000002,T00000002,1742.64,INR,5.32,SETTLED,2026-02-03
SET00000003,T00000003,1395.76,INR,2.38,SETTLED,2026-03-10
SET00000004,T00000004,1104.67,INR,1.95,SETTLED,2026-02-14
SET00000005,T00000005,96.62,AED,0.24,SETTLED,2026-05-31
SET00000006,T00000007,3064.66,INR,4.31,SETTLED,2026-06-04
SET00000007,T00000009,3874.65,INR,6.81,EXCEPTION,2026-02-08
SET00000008,T00000010,1223.86,INR,2.99,SETTLED,2026-06-30
SET00000009,T00000011,6.52,SGD,0.1,SETTLED,2026-02-23
SET00000010,T00000013,38.76,AED,0.17,SETTLED,2026-05-22
SET00000011,T00000014,2198.22,INR,5.79,SETTLED,2026-02-11
SET00000012,T00000015,5642.15,INR,12.18,SETTLED,2026-02-19
SET00000013,T00000016,12.48,SGD,0.06,SETTLED,2026-06-19
SET00000014,T00000017,2249.35,INR,5.93,SETTLED,2026-03-22
SET00000015,T00000018,2685.41,INR,5.35,SETTLED,2026-05-19
SET00000016,T00000019,4929.68,INR,15.34,SETTLED,2026-06-15
SET00000017,T00000021,36.27,SGD,0.14,SETTLED,2026-02-27
SET00000018,T00000022,1026.25,INR,1.35,SETTLED,2026-02-07
SET00000019,T00000023,2298.06,INR,2.9,SETTLED,2026-05-27
SET00000020,T00000024,26.28,SGD,0.17,SETTLED,2026-02-19
SET00000021,T00000025,365.44,AED,0.68,SETTLED,2026-05-03
SET00000022,T00000026,2277.05,INR,4.33,SETTLED,2026-04-25
SET00000023,T00000027,37.35,SGD,0.17,SETTLED,2026-04-30
SET00000024,T00000028,30.67,SGD,0.1,SETTLED,2026-05-14
SET00000025,T00000029,14.99,AED,0.12,SETTLED,2026-06-13
SET00000026,T00000031,185.04,AED,0.66,SETTLED,2026-05-02
SET00000027,T00000032,34.69,AED,0.2,EXCEPTION,2026-03-25
SET00000028,T00000033,153.19,AED,0.53,SETTLED,2026-03-22
SET00000029,T00000036,17.84,SGD,0.15,SETTLED,2026-06-29
SET00000030,T00000037,-28.15,SGD,0.13,SETTLED,2026-05-31
SET00000031,T00000039,4596.73,INR,6.03,SETTLED,2026-05-26
SET00000032,T00000040,125.52,AED,0.25,SETTLED,2026-03-18
SET00000033,T00000041,988.1,INR,1.67,SETTLED,2026-06-02
SET00000034,T00000042,147.28,AED,0.21,SETTLED,2026-06-13
SET00000035,T00000043,28.97,AED,0.13,SETTLED,2026-03-23
SET00000036,T00000044,2401.23,INR,5.15,SETTLED,2026-01-06
SET00000037,T00000046,2877.69,INR,8.22,SETTLED,2026-02-24
SET00000038,T00000047,55.69,SGD,0.23,SETTLED,2026-05-11
SET00000039,T00000048,523.81,INR,1.46,SETTLED,2026-03-14
SET00000040,T00000049,13.63,SGD,0.06,SETTLED,2026-01-12
SET00000041,T00000050,91.15,AED,0.27,SETTLED,2026-04-27
SET00000042,T00000051,669.17,INR,2.03,SETTLED,2026-06-17
SET00000043,T00000052,4950.62,INR,7.32,SETTLED,2026-04-12
SET00000044,T00000053,9116.99,INR,17.05,SETTLED,2026-03-31
SET00000045,T00000054,3442.88,INR,7.56,SETTLED,2026-02-17
SET00000046,T00000056,14.02,SGD,0.1,SETTLED,2026-03-24
SET00000047,T00000056,14.02,SGD,0.16,SETTLED,2026-03-25
SET00000048,T00000057,2062.78,INR,3.53,SETTLED,2026-07-02
SET00000049,T00000058,1481.74,INR,2.89,SETTLED,2026-01-15
SET00000050,T00000059,76.65,AED,0.18,SETTLED,2026-03-05
SET00000051,T00000060,8104.23,INR,15.26,SETTLED,2026-01-23
SET00000052,T00000061,4026.29,INR,11.3,SETTLED,2026-06-14
SET00000053,T00000063,1071.64,INR,1.55,SETTLED,2026-06-08
SET00000054,T00000064,67.56,AED,0.23,SETTLED,2026-05-21
SET00000055,T00000065,0.0,AED,0.12,SETTLED,2026-06-25
SET00000056,T00000066,6201.48,INR,19.05,SETTLED,2026-01-11
SET00000057,T00000067,121.72,AED,0.41,SETTLED,2026-02-25
SET00000058,T00000069,4364.5,INR,12.08,SETTLED,2026-05-08
SET00000059,T00000070,19.12,SGD,0.09,SETTLED,2026-05-24
SET00000060,T00000071,19.15,SGD,0.1,SETTLED,2026-05-03
SET00000061,T00000072,44.21,SGD,0.17,SETTLED,2026-05-05
SET00000062,T00000073,137.85,SGD,0.26,SETTLED,2026-06-25
SET00000063,T00000074,64.2,AED,0.27,SETTLED,2026-06-25
SET00000064,T00000075,25.29,SGD,0.12,SETTLED,2026-01-13
SET00000065,T00000076,12.8,SGD,0.08,SETTLED,2026-04-07
SET00000066,T00000077,1668.59,INR,1.93,SETTLED,2026-04-22
SET00000067,T00000078,1271.0,INR,2.98,SETTLED,2026-03-28
SET00000068,T00000079,215.38,AED,0.34,SETTLED,2026-01-19
SET00000069,T00000080,2028.35,INR,4.51,SETTLED,2026-04-19
SET00000070,T00000082,497.87,AED,0.94,SETTLED,2026-01-26
SET00000071,T00000083,36.27,AED,0.16,SETTLED,2026-06-08
SET00000072,T00000084,2535.52,INR,6.77,SETTLED,2026-02-24
SET00000073,T00000085,3466.58,INR,7.83,SETTLED,2026-05-02
SET00000074,T00000086,2170.35,INR,4.07,SETTLED,2026-04-01
SET00000075,T00000087,666.98,INR,1.41,SETTLED,2026-03-27
SET00000076,T00000088,110.88,SGD,0.24,SETTLED,2026-06-17
SET00000077,T00000089,12.17,SGD,0.11,SETTLED,2026-06-29
SET00000078,T00000089,12.17,SGD,0.07,SETTLED,2026-07-01
SET00000079,T00000090,142.72,AED,0.48,SETTLED,2026-04-03
SET00000080,T00000091,778.35,INR,2.48,SETTLED,2026-05-13
SET00000081,T00000092,67.95,SGD,0.16,SETTLED,2026-04-30
SET00000082,T00000093,2146.57,INR,3.95,SETTLED,2026-01-25
SET00000083,T00000094,15.34,SGD,0.12,SETTLED,2026-01-15
SET00000084,T00000095,128.54,SGD,0.5,SETTLED,2026-06-04
SET00000085,T00000097,2156.92,INR,2.34,SETTLED,2026-03-16
SET00000086,T00000098,4699.89,INR,9.98,SETTLED,2026-07-01
SET00000087,T00000099,137.29,AED,0.24,SETTLED,2026-01-26
SET00000088,T00000100,15.17,SGD,0.11,SETTLED,2026-03-08
SET00000089,T00000101,4339.36,INR,11.23,SETTLED,2026-06-17
SET00000090,T00000102,4184.15,INR,7.12,SETTLED,2026-04-05
SET00000091,T00000103,9.26,SGD,0.06,SETTLED,2026-05-08
SET00000092,T00000105,2518.18,INR,2.76,EXCEPTION,2026-06-22
SET00000093,T00000106,2395.43,INR,7.28,SETTLED,2026-02-07
SET00000094,T00000107,59.92,AED,0.19,SETTLED,2026-03-01
SET00000095,T00000108,3318.51,INR,8.83,SETTLED,2026-02-16
SET00000096,T00000109,58.45,AED,0.21,SETTLED,2026-04-20
SET00000097,T00000110,1584.8,INR,2.83,SETTLED,2026-06-07
SET00000098,T00000112,95.43,AED,0.17,SETTLED,2026-02-10
SET00000099,T00000113,3253.01,INR,5.42,SETTLED,2026-04-08
SET00000100,T00000114,43.67,SGD,0.2,SETTLED,2026-06-29
SET00000101,T00000115,50.95,AED,0.16,SETTLED,2026-01-09
SET00000102,T00000118,399.49,AED,1.02,SETTLED,2026-06-06
SET00000103,T00000119,6142.06,INR,16.59,SETTLED,2026-06-01
SET00000104,T00000120,3326.0,INR,7.87,SETTLED,2026-01-23
SET00000105,T00000121,3896.18,INR,10.09,SETTLED,2026-04-17
SET00000106,T00000122,2120.59,INR,3.05,SETTLED,2026-01-27
SET00000107,T00000123,3101.93,INR,8.02,SETTLED,2026-05-10
SET00000108,T00000124,1622.04,INR,2.34,SETTLED,2026-01-27
SET00000109,T00000125,12.17,SGD,0.06,SETTLED,2026-01-18
SET00000110,T00000126,15.62,SGD,0.11,SETTLED,2026-03-20
SET00000111,T00000127,138.62,SGD,0.35,SETTLED,2026-06-25
SET00000112,T00000128,36.43,SGD,0.18,SETTLED,2026-05-27
SET00000113,T00000129,1051.03,INR,2.25,SETTLED,2026-01-04
SET00000114,T00000130,8.28,SGD,0.09,SETTLED,2026-03-12
SET00000115,T00000131,7149.9,INR,13.44,SETTLED,2026-01-11
SET00000116,T00000132,33.46,AED,0.21,PENDING,2026-03-14
SET00000117,T00000133,31.14,AED,0.15,SETTLED,2026-05-19
SET00000118,T00000134,74.39,SGD,0.23,SETTLED,2026-06-03
SET00000119,T00000135,2635.6,INR,5.24,SETTLED,2026-06-07
SET00000120,T00000136,105.0,SGD,0.23,SETTLED,2026-06-23
SET00000121,T00000137,6085.44,INR,8.11,SETTLED,2026-03-28
SET00000122,T00000138,4215.45,INR,8.37,PENDING,2026-06-17
SET00000123,T00000139,1528.38,INR,2.21,SETTLED,2026-05-26
SET00000124,T00000140,1610.69,INR,2.47,SETTLED,2026-04-30
SET00000125,T00000142,1429.97,INR,3.0,SETTLED,2026-06-29
SET00000126,T00000143,18.79,SGD,0.06,SETTLED,2026-06-18
SET00000127,T00000144,668.58,INR,1.88,SETTLED,2026-02-24
SET00000128,T00000145,519.32,INR,1.0,SETTLED,2026-02-27
SET00000129,T00000146,5124.61,INR,14.56,SETTLED,2026-06-23
SET00000130,T00000147,1120.11,INR,1.62,SETTLED,2026-04-05
SET00000131,T00000148,59.18,AED,0.21,SETTLED,2026-06-04
SET00000132,T00000149,1197.59,INR,1.38,SETTLED,2026-05-21
SET00000133,T00000150,96.16,AED,0.32,SETTLED,2026-05-31
SET00000134,T00000151,2092.26,INR,5.33,SETTLED,2026-01-12
SET00000135,T00000152,6.74,SGD,0.06,SETTLED,2026-04-12
SET00000136,T00000156,31.46,AED,0.15,SETTLED,2026-05-29
SET00000137,T00000156,31.46,AED,0.11,SETTLED,2026-06-02
SET00000138,T00000157,2020.92,INR,4.21,SETTLED,2026-02-06
SET00000139,T00000158,2446.62,INR,5.17,SETTLED,2026-02-13
SET00000140,T00000160,402.73,AED,1.37,SETTLED,2026-01-20
SET00000141,T00000162,93.18,AED,0.16,PENDING,2026-06-23
SET00000142,T00000163,80.68,SGD,0.29,EXCEPTION,2026-05-04
SET00000143,T00000164,499.6,INR,0.78,SETTLED,2026-06-24
SET00000144,T00000165,338.46,AED,1.09,SETTLED,2026-03-17
SET00000145,T00000166,1469.68,INR,2.13,SETTLED,2026-05-13
SET00000146,T00000167,-2506.55,INR,7.5,SETTLED,2026-03-12
SET00000147,T00000168,2825.97,INR,5.76,SETTLED,2026-02-01
SET00000148,T00000169,2963.28,INR,4.58,SETTLED,2026-07-03
SET00000149,T00000170,207.97,AED,0.65,SETTLED,2026-02-18
SET00000150,T00000172,11.52,SGD,0.05,EXCEPTION,2026-06-14
SET00000151,T00000173,76.7,SGD,0.31,SETTLED,2026-06-08
SET00000152,T00000174,730.55,INR,1.38,SETTLED,2026-07-03
SET00000153,T00000175,4151.61,INR,6.96,SETTLED,2026-01-22
SET00000154,T00000176,2845.37,INR,5.14,SETTLED,2026-01-28
SET00000155,T00000177,23.91,SGD,0.11,SETTLED,2026-04-12
SET00000156,T00000178,136.84,AED,0.33,SETTLED,2026-05-06
SET00000157,T00000181,35.57,SGD,0.07,SETTLED,2026-05-26
SET00000158,T00000182,74.85,AED,0.14,SETTLED,2026-05-18
SET00000159,T00000183,2430.86,INR,2.83,SETTLED,2026-01-29
SET00000160,T00000184,438.08,INR,1.47,SETTLED,2026-06-26
SET00000161,T00000186,-1625.97,INR,1.97,SETTLED,2026-06-17
SET00000162,T00000187,2411.91,INR,6.56,SETTLED,2026-06-22
SET00000163,T00000188,31.15,SGD,0.16,SETTLED,2026-04-20
SET00000164,T00000189,705.5,INR,1.57,SETTLED,2026-04-07
SET00000165,T00000190,27.46,SGD,0.13,SETTLED,2026-03-14
