transaction_id,customer_id,merchant_id,amount,currency,channel,status,created_at,route_id
T00000001,C014898,M00271,12316.97,INR,Wallet,SUCCESS,2026-04-11 03:35:22,R_IN_02
T00000002,C005615,M00158,1742.64,INR,Card,SUCCESS,2026-01-30 19:30:03,R_IN_02
T00000003,C013760,M00132,1395.76,INR,Card,SUCCESS,2026-03-05 11:27:41,R_IN_01
T00000004,C013714,M00167,1104.67,INR,Card,SUCCESS,2026-02-13 02:52:38,R_IN_01
T00000005,C014519,M00893,96.62,AED,Wallet,SUCCESS,2026-05-28 15:41:56,R_UAE_01
T00000006,C003540,M00421,25.27,SGD,Card,DECLINED_FRAUD,2026-05-20 19:36:52,R_SG_02
T00000007,C003952,M00550,3064.66,INR,Card,SUCCESS,2026-06-03 16:54:13,R_IN_02
T00000008,C006641,M00203,211.98,AED,Card,CANCELLED,2026-05-20 19:50:00,R_UAE_01
T00000009,C001064,M00477,3874.65,INR,UPI,SUCCESS,2026-02-04 07:09:05,R_IN_01
T00000010,C005621,M00573,1223.86,INR,UPI,SUCCESS,2026-06-28 13:11:37,R_IN_02
T00000011,C014700,M00770,6.52,SGD,Card,SUCCESS,2026-02-18 00:47:15,R_SG_02
T00000012,C001382,M00937,27.74,SGD,Bank Transfer,CANCELLED,2026-03-23 13:53:52,R_SG_01
T00000013,C007179,,38.76,AED,Wallet,SUCCESS,2026-05-21 12:10:09,R_UAE_02
T00000014,C003115,M00091,2198.22,INR,UPI,SUCCESS,2026-02-07 17:12:35,R_IN_01
T00000015,C004046,M00077,5642.15,INR,Wallet,SUCCESS,2026-02-14 20:20:03,R_IN_02
T00000016,C012488,M00479,12.48,SGD,Card,SUCCESS,2026-06-14 20:46:31,R_SG_01
T00000017,C014854,M00470,2249.35,INR,Card,SUCCESS,2026-03-20 23:24:30,R_IN_01
T00000018,C009452,M00863,2685.41,INR,Card,SUCCESS,2026-05-15 23:52:32,R_IN_02
T00000019,C010884,M00130,4929.68,INR,Card,SUCCESS,2026-06-12 22:57:20,R_IN_02
T00000020,C009151,M00531,33.24,SGD,Card,CANCELLED,2026-06-27 22:35:06,R_SG_02
T00000021,C000496,M00910,36.27,SGD,Bank Transfer,SUCCESS,2026-02-23 21:00:19,R_SG_01
T00000022,C010641,M00828,1026.25,INR,UPI,SUCCESS,2026-02-03 03:34:10,R_IN_01
T00000023,C007383,M00826,2298.06,INR,UPI,SUCCESS,2026-05-26 08:01:22,R_IN_01
T00000024,C000259,M00280,26.28,SGD,Card,SUCCESS,2026-02-18 17:43:22,R_SG_02
T00000025,C006411,M00785,365.44,AED,Card,SUCCESS,2026-05-02 04:48:48,R_UAE_02
T00000026,C007531,M00896,2277.05,INR,Card,SUCCESS,2026-04-24 17:18:30,R_IN_02
T00000027,C003658,M00507,37.35,SGD,Wallet,SUCCESS,2026-04-29 01:57:27,R_SG_02
T00000028,C011456,M00452,30.67,SGD,Wallet,SUCCESS,2026-05-13 11:41:26,R_SG_02
T00000029,C003625,M00538,14.99,AED,Card,SUCCESS,2026-06-11 12:35:00,R_UAE_02
T00000030,C013913,M00478,2891.7,INR,UPI,SUCCESS,2026-03-08 12:37:52,R_IN_02
T00000031,C006360,M00181,185.04,AED,Card,SUCCESS,2026-04-28 18:16:13,R_UAE_02
T00000032,C010425,M00397,34.69,AED,Wallet,SUCCESS,2026-03-21 03:37:26,R_UAE_01
T00000033,C007983,M00287,153.19,AED,Wallet,SUCCESS,2026-03-17 20:32:05,R_UAE_01
T00000034,C011568,M00115,3412.11,INR,Card,DECLINED_FRAUD,2026-01-07 23:12:21,R_IN_01
T00000035,C007044,M00392,2324.87,INR,UPI,DECLINED_FRAUD,2026-05-05 17:35:05,R_IN_02
T00000036,C014049,M00907,17.84,SGD,Wallet,SUCCESS,2026-06-27 23:24:23,R_SG_02
T00000037,C009062,M00453,-28.15,SGD,Card,SUCCESS,2026-05-29 02:00:35,R_SG_02
T00000038,C001062,M00839,5256.27,INR,Card,FAILED_TECHNICAL,2026-03-02 06:12:55,R_IN_02
T00000039,C002911,M00237,4596.73,INR,Wallet,SUCCESS,2026-05-23 22:05:12,R_IN_01
T00000040,C013871,M00371,125.52,AED,Wallet,SUCCESS,2026-03-13 12:03:31,R_UAE_01
T00000041,C003988,M00829,988.1,INR,Wallet,SUCCESS,2026-05-28 04:49:24,R_IN_02
T00000042,C000615,M00275,147.28,AED,Card,SUCCESS,2026-06-11 19:55:44,R_UAE_02
T00000043,C012166,M00940,28.97,AED,Card,SUCCESS,2026-03-20 21:35:19,R_UAE_01
T00000044,C009961,M00054,2401.23,INR,Card,SUCCESS,2026-01-01 11:05:43,R_IN_01
T00000045,C011735,M00451,30.65,SGD,Wallet,DECLINED_FRAUD,2026-03-15 07:31:02,R_SG_01
T00000046,C009635,M00588,2877.69,INR,Wallet,SUCCESS,2026-02-22 07:14:02,R_IN_02
T00000047,C001697,M00534,55.69,SGD,Bank Transfer,SUCCESS,2026-05-08 12:33:25,R_SG_01
T00000048,C011576,M00925,523.81,INR,Bank Transfer,SUCCESS,2026-03-12 12:22:43,R_IN_02
T00000049,C000398,M00757,13.63,SGD,Card,SUCCESS,2026-01-11 15:11:15,R_SG_01
T00000050,C002210,M00482,91.15,AED,Card,SUCCESS,2026-04-24 03:55:14,R_UAE_01
T00000051,C011433,M00941,669.17,INR,Card,SUCCESS,2026-06-14 01:26:10,R_IN_02
T00000052,C000820,M00583,4950.62,INR,Card,SUCCESS,2026-04-11 23:37:19,R_IN_02
T00000053,C009820,M00299,9116.99,INR,Bank Transfer,SUCCESS,2026-03-28 22:23:08,R_IN_01
T00000054,C005873,M00143,3442.88,INR,Card,SUCCESS,2026-02-16 11:25:41,R_IN_01
T00000055,C009871,M00291,214.13,SGD,Card,CANCELLED,2026-03-30 03:53:27,R_SG_02
T00000056,C011573,M00933,28.04,SGD,Card,SUCCESS,2026-03-20 10:15:24,R_SG_01
T00000057,C005080,M00444,2062.78,INR,Card,SUCCESS,2026-06-30 13:22:43,R_IN_01
T00000058,C006102,M00608,1481.74,INR,Bank Transfer,SUCCESS,2026-01-10 21:29:21,R_IN_01
T00000059,C007123,M00598,76.65,AED,Card,SUCCESS,2026-03-01 19:00:31,R_UAE_01
T00000060,C014598,M00335,8104.23,INR,Card,SUCCESS,2026-01-20 17:46:34,R_IN_02
T00000061,C005433,M00638,4026.29,INR,UPI,SUCCESS,2026-06-12 05:30:03,R_IN_01
T00000062,C010183,M00087,23.9,SGD,Card,CANCELLED,2026-04-05 19:27:35,R_SG_02
T00000063,C003910,M00646,1071.64,INR,UPI,SUCCESS,2026-06-03 16:49:30,R_IN_02
T00000064,C005589,M00301,67.56,AED,Card,SUCCESS,2026-05-19 15:35:25,R_UAE_02
T00000065,C014941,M00834,0.0,AED,Bank Transfer,SUCCESS,2026-06-21 19:42:13,R_UAE_01
T00000066,C013590,M00127,6201.48,INR,Bank Transfer,SUCCESS,2026-01-08 06:14:56,R_IN_01
T00000067,C000840,M00675,121.72,AED,Card,SUCCESS,2026-02-22 09:40:27,R_UAE_01
T00000068,C003822,M00894,2254.33,INR,Card,CANCELLED,2026-05-21 15:09:58,R_IN_02
T00000069,C009285,M00504,4364.5,INR,Wallet,SUCCESS,2026-05-03 06:13:47,R_IN_01
T00000070,C014378,M00065,19.12,SGD,Card,SUCCESS,2026-05-20 14:46:36,R_SG_02
T00000071,C011772,M01000,19.15,SGD,Bank Transfer,SUCCESS,2026-05-01 08:45:50,R_SG_02
T00000072,C006935,M00458,44.21,SGD,Card,SUCCESS,2026-05-02 16:02:35,R_SG_02
T00000073,C009538,M00402,137.85,SGD,Card,SUCCESS,2026-06-22 14:31:07,R_SG_01
T00000074,C012862,M00110,64.2,AED,Card,SUCCESS,2026-06-20 11:01:29,R_UAE_01
T00000075,C014997,M00385,25.29,SGD,Card,SUCCESS,2026-01-12 04:54:49,R_SG_02
T00000076,C006234,M00559,12.8,SGD,Bank Transfer,SUCCESS,2026-04-04 16:35:19,R_SG_02
T00000077,C006277,M00655,1668.59,INR,UPI,SUCCESS,2026-04-21 01:53:32,R_IN_01
T00000078,C005976,M00122,1271.0,INR,Card,SUCCESS,2026-03-25 23:14:47,R_IN_01
T00000079,C005807,M00710,215.38,AED,Card,SUCCESS,2026-01-15 04:14:41,R_UAE_01
T00000080,C013233,M00800,2028.35,INR,UPI,SUCCESS,2026-04-14 08:20:41,R_IN_02
T00000081,C006774,M00002,1733.4,INR,Card,DECLINED_FRAUD,2026-06-27 08:47:24,R_IN_02
T00000082,C009604,M00973,497.87,AED,Wallet,SUCCESS,2026-01-21 15:10:18,R_UAE_02
T00000083,C014527,M00080,36.27,AED,Wallet,SUCCESS,2026-06-06 13:13:26,R_UAE_01
T00000084,C003725,M00054,2535.52,INR,Card,SUCCESS,2026-02-20 20:07:53,R_IN_02
T00000085,C011458,,3466.58,INR,Card,SUCCESS,2026-05-01 16:18:08,R_IN_02
T00000086,C002333,M00545,2170.35,INR,UPI,SUCCESS,2026-03-30 06:58:25,R_IN_01
T00000087,C001588,M00338,666.98,INR,UPI,SUCCESS,2026-03-23 13:50:40,R_IN_01
T00000088,C001536,M00530,110.88,SGD,Card,SUCCESS,2026-06-13 11:01:34,R_SG_01
T00000089,C009477,M00663,24.34,SGD,Card,SUCCESS,2026-06-27 22:21:51,R_SG_01
T00000090,C012180,M00799,142.72,AED,Wallet,SUCCESS,2026-03-30 11:16:05,R_UAE_01
T00000091,C009761,M00793,778.35,INR,UPI,SUCCESS,2026-05-11 23:53:04,R_IN_02
T00000092,C007475,M00200,67.95,SGD,Card,SUCCESS,2026-04-28 12:14:24,R_SG_01
T00000093,C005837,M00502,2146.57,INR,UPI,SUCCESS,2026-01-22 23:26:50,R_IN_02
T00000094,C014201,M00329,15.34,SGD,Wallet,SUCCESS,2026-01-13 21:38:07,R_SG_02
T00000095,C001598,M00854,128.54,SGD,Wallet,SUCCESS,2026-05-31 20:10:46,R_SG_01
T00000096,C011607,M00326,8.37,SGD,Card,FAILED_TECHNICAL,2026-04-01 08:41:38,R_SG_02
T00000097,C009328,M00170,2156.92,INR,Card,SUCCESS,2026-03-15 18:18:24,R_IN_02
T00000098,C013276,M00763,4699.89,INR,Wallet,SUCCESS,2026-06-29 23:41:40,R_IN_02
T00000099,C004813,M00203,137.29,AED,Card,SUCCESS,2026-01-24 12:17:42,R_UAE_01
T00000100,C007895,M00641,15.17,SGD,Bank Transfer,SUCCESS,2026-03-07 04:25:22,R_SG_01
T00000101,C007198,M00959,4339.36,INR,Wallet,SUCCESS,2026-06-12 07:48:32,R_IN_01
T00000102,C013853,M00536,4184.15,INR,Card,SUCCESS,2026-04-04 03:44:35,R_IN_01
T00000103,C009283,M00163,9.26,SGD,Bank Transfer,SUCCESS,2026-05-03 19:43:26,R_SG_02
T00000104,C006317,M00054,3677.32,INR,Card,DECLINED_FRAUD,2026-01-15 05:02:03,R_IN_01
T00000105,C010653,M00509,2518.18,INR,Card,SUCCESS,2026-06-20 12:03:31,R_IN_01
T00000106,C003737,M00660,2395.43,INR,Card,SUCCESS,2026-02-06 13:41:52,R_IN_02
T00000107,C006966,M00433,59.92,AED,Card,SUCCESS,2026-02-24 09:32:46,R_UAE_02
T00000108,C006031,M00604,3318.51,INR,Card,SUCCESS,2026-02-11 07:25:06,R_IN_01
T00000109,C003224,M00674,58.45,AED,Wallet,SUCCESS,2026-04-18 12:22:16,R_UAE_02
T00000110,C001504,M00613,1584.8,INR,UPI,SUCCESS,2026-06-06 00:12:47,R_IN_02
T00000111,C005972,M00154,128.69,SGD,Card,DECLINED_FRAUD,2026-03-07 18:03:45,R_SG_02
T00000112,C005108,M00148,95.43,AED,Bank Transfer,SUCCESS,2026-02-08 11:59:58,R_UAE_02
T00000113,C006621,M00766,3253.01,INR,Card,SUCCESS,2026-04-03 23:33:28,R_IN_01
T00000114,C010397,M00029,43.67,SGD,Card,SUCCESS,2026-06-28 06:45:47,R_SG_02
T00000115,C007440,M00094,50.95,AED,Wallet,SUCCESS,2026-01-04 23:02:27,R_UAE_02
T00000116,C007703,M00165,33.74,SGD,Wallet,FAILED_TECHNICAL,2026-04-20 03:40:33,R_SG_02
T00000117,C003748,M00251,2029.84,INR,Card,FAILED_TECHNICAL,2026-05-16 17:21:02,R_IN_02
T00000118,C001019,M00379,399.49,AED,Bank Transfer,SUCCESS,2026-06-05 12:31:15,R_UAE_01
T00000119,C006760,M00299,6142.06,INR,Card,SUCCESS,2026-05-27 07:33:45,R_IN_02
T00000120,C009153,M00293,3326.0,INR,Card,SUCCESS,2026-01-22 16:48:13,R_IN_02
T00000121,C003740,M00398,3896.18,INR,UPI,SUCCESS,2026-04-12 16:56:09,R_IN_02
T00000122,C005690,M00991,2120.59,INR,Wallet,SUCCESS,2026-01-23 02:45:21,R_IN_01
T00000123,C014810,M00036,3101.93,INR,Card,SUCCESS,2026-05-08 20:27:36,R_IN_02
T00000124,C012669,M00789,1622.04,INR,UPI,SUCCESS,2026-01-22 16:14:59,R_IN_02
T00000125,C009299,M00692,12.17,SGD,Card,SUCCESS,2026-01-15 23:53:52,R_SG_01
T00000126,C008082,M00786,15.62,SGD,Bank Transfer,SUCCESS,2026-03-15 04:52:19,R_SG_02
T00000127,C005404,M00850,138.62,SGD,Wallet,SUCCESS,2026-06-23 00:04:25,R_SG_01
T00000128,C004746,M00898,36.43,SGD,Card,SUCCESS,2026-05-22 06:58:35,R_SG_01
T00000129,C004471,M00364,1051.03,INR,Card,SUCCESS,2026-01-02 10:28:40,R_IN_02
T00000130,C007619,M00776,8.28,SGD,Card,SUCCESS,2026-03-11 09:56:21,R_SG_01
T00000131,C001499,M00605,7149.9,INR,UPI,SUCCESS,2026-01-06 17:13:25,R_IN_01
T00000132,C004864,M00564,33.46,AED,Card,SUCCESS,2026-03-13 08:35:58,R_UAE_02
T00000133,C001978,M00334,31.14,AED,Bank Transfer,SUCCESS,2026-05-18 18:18:00,R_UAE_02
T00000134,C002086,M00233,74.39,SGD,Card,SUCCESS,2026-05-29 17:34:26,R_SG_02
T00000135,C013116,M00064,2635.6,INR,Card,SUCCESS,2026-06-04 08:10:04,R_IN_01
T00000136,C004011,M00197,105.0,SGD,Bank Transfer,SUCCESS,2026-06-19 17:32:55,R_SG_02
T00000137,C011830,M00889,6085.44,INR,Wallet,SUCCESS,2026-03-26 06:43:02,R_IN_02
T00000138,C012576,M00409,4215.45,INR,UPI,SUCCESS,2026-06-12 15:40:18,R_IN_01
